passenger class,sex,age,siblings or spouce aboard,parents or childred aboard,fare,embarked,target
1,female,0.3611424276587749,0.0,0.0,0.41250332793836464,S,1
1,male,0.009394964299135665,0.125,0.3333333333333333,0.29580589980036276,S,1
1,female,0.02292371288989102,0.125,0.3333333333333333,0.29580589980036276,S,0
1,male,0.37366904672428913,0.125,0.3333333333333333,0.29580589980036276,S,0
1,female,0.311035951396718,0.125,0.3333333333333333,0.29580589980036276,S,0
1,male,0.599148189903545,0.0,0.0,0.051822148727810165,S,1
1,female,0.7870474758862583,0.125,0.0,0.15216446768991498,S,1
1,male,0.48640861831391713,0.0,0.0,0.0,S,0
1,female,0.6617812852311161,0.25,0.0,0.10048070654571319,S,1
1,male,0.8872604284103721,0.0,0.0,0.09662576327876685,C,0
1,male,0.5866215708380309,0.125,0.0,0.4440992237022602,C,0
1,female,0.22334961793811853,0.125,0.0,0.4440992237022602,C,1
1,female,0.2985093323312038,0.0,0.0,0.13526459159462315,C,1
1,female,0.32356257046223225,0.0,0.0,0.15390495017656614,S,1
1,male,1.0,0.0,0.0,0.05855610025741262,S,1
1,male,0.2985093323312038,0.0,0.16666666666666666,0.4831284260198326,C,0
1,female,0.6242014280345735,0.0,0.16666666666666666,0.4831284260198326,C,1
1,female,0.3987222848553176,0.0,0.0,0.14891148113361488,C,1
1,male,0.44882876111737446,0.0,0.0,0.1468620176246054,C,0
1,male,0.4613553801828887,0.125,0.16666666666666666,0.10257896680493714,S,1
1,female,0.5866215708380309,0.125,0.16666666666666666,0.10257896680493714,S,1
1,male,0.32356257046223225,0.0,0.0,0.05855610025741262,C,1
1,female,0.5239884755104598,0.0,0.0,0.4440992237022602,C,1
1,female,0.3611424276587749,0.0,0.0,0.4328841690069588,S,1
1,male,0.311035951396718,0.0,0.0,0.050748620223090936,C,0
1,male,0.311035951396718,0.125,0.0,0.17777475888549785,C,1
1,female,0.23587623700363275,0.125,0.0,0.17777475888549785,C,1
1,female,0.43630214205186024,0.0,0.0,0.2647385704347907,S,1
1,male,0.3486158085932607,0.0,0.0,0.051822148727810165,S,1
1,male,0.5615683327070025,0.0,0.0,0.06929138530460494,S,0
1,male,0.49893523737943135,0.0,0.0,0.060507970265993034,C,1
1,female,0.37366904672428913,0.0,0.0,0.32179836714362564,S,1
1,female,0.7244143805586872,0.0,0.0,0.051822148727810165,S,1
1,male,0.5239884755104598,0.0,0.0,0.051822148727810165,S,0
1,female,0.5615683327070025,0.0,0.0,0.5121218935012878,C,1
1,female,0.2734560942001754,0.0,0.16666666666666666,0.10735285047192313,S,1
1,male,0.5114618564449456,0.0,0.0,0.05953203526170282,S,0
1,male,0.599148189903545,0.0,0.0,0.09856123757927521,C,0
1,female,0.5490417136414882,0.0,0.0,0.05410739813385612,C,1
1,female,0.7369409996242015,0.25,0.0,0.10048070654571319,S,1
1,female,0.7494676186897157,0.0,0.0,0.14891148113361488,C,1
1,female,0.5114618564449456,0.0,0.0,0.2625265161540666,C,1
1,male,0.5615683327070025,0.0,0.0,0.051822148727810165,S,0
1,male,0.5239884755104598,0.0,0.0,0.05130978285055781,S,1
1,female,0.6617812852311161,0.0,0.0,0.0535706338814965,C,1
1,male,0.44882876111737446,0.0,0.16666666666666666,1.0,C,1
1,female,0.7244143805586872,0.0,0.16666666666666666,1.0,C,1
1,male,0.4112489039208318,0.0,0.0,0.009759350042902102,S,0
1,male,0.3486158085932607,0.0,0.0,0.09193307740413781,S,0
1,male,0.2108229988726043,0.0,0.0,0.09193307740413781,S,0
1,male,0.135663284479519,0.125,0.3333333333333333,0.23422440102965048,S,1
1,female,0.17324314167606164,0.125,0.3333333333333333,0.23422440102965048,S,1
1,male,0.44882876111737446,0.125,0.3333333333333333,0.23422440102965048,S,1
1,female,0.44882876111737446,0.125,0.3333333333333333,0.23422440102965048,S,1
1,male,0.6116748089690592,0.0,0.0,0.050748620223090936,S,0
1,male,0.44882876111737446,0.125,0.0,0.15390495017656614,S,0
1,female,0.9498935237379432,0.125,0.0,0.15390495017656614,S,1
1,male,0.5740949517725167,0.125,0.0,0.11940564777490723,S,0
1,female,0.5866215708380309,0.125,0.0,0.11940564777490723,S,1
1,male,0.33608918952774647,0.125,0.0,0.10364429745562033,S,1
1,female,0.4112489039208318,0.125,0.0,0.10364429745562033,S,1
1,female,0.44882876111737446,0.0,0.0,0.5121218935012878,C,1
1,female,0.37366904672428913,0.0,0.0,0.16883675574220638,S,1
1,male,0.5615683327070025,0.0,0.0,0.057970539254838485,C,1
1,male,0.33608918952774647,0.125,0.0,0.26697521827762305,C,0
1,female,0.32356257046223225,0.125,0.0,0.26697521827762305,C,1
1,female,0.2734560942001754,0.0,0.0,0.29580589980036276,S,1
1,male,0.5866215708380309,0.0,0.0,0.04994347384455151,S,0
1,female,0.48640861831391713,0.125,0.16666666666666666,0.16231419173453318,C,1
1,male,0.4613553801828887,0.125,0.16666666666666666,0.16231419173453318,C,0
